序号,名称,网址后缀
124,['[篮球][NBA][2013-11-12][13-14赛季NBA常规赛 猛龙VS火箭][国语][AVI]'],['/torrents/518324/']
125,['[篮球][NBA][NBA.2013.11.09.Pacers.vs.Nets.720p.HDTV.60fps.x264-Reborn4HD.mkv][2013/14 常规赛 2013.11.10 步行者 VS 网队 来自 http://hd-sportbits.org][720P]'],['/torrents/517985/']
126,['[篮球][NBA][NBA.2013.11.08.Thunder.vs.Pistons.720p.HDTV.60fps.x264-Reborn4HD.mkv][2013/14 常规赛 2013.11.9 雷霆 VS 活塞 来自 http://hd-sportbits.org][720P]'],['/torrents/517820/']
127,['[网球][ATP年终][2013-11-08][2013ATP年终总决赛小组赛A组第二轮 费雷尔VS瓦林卡][ATP.2013.WTF.Group.A.D.Ferrer.vs.S.Wawrinka.ENG.576P][MKV]'],['/torrents/517785/']
128,['[篮球][NBA][NBA.2013.11.06.Bulls.vs.Pacers.720p.HDTV.60fps.x264-Reborn4HD.mkv][2013/14 常规赛 2013.11.7 公牛 VS 步行者][720P]'],['/torrents/517415/']
129,['[篮球][NBA][2013-11-06][ 13-14赛季NBA常规赛 热火VS猛龙][英语][720P]'],['/torrents/517227/']
130,['[篮球][NBA][NBA.2013.11.05.Jazz.vs.Nets.720p.HDTV.60fps.x264-Reborn4HD.mp4][2013/14 常规赛 2013.11.6 爵士 VS 网队 来自 http://hd-sportbits.org][720P]'],['/torrents/517215/']
131,['[篮球][NBA][NBA.2013.11.03.Hawks.vs.Lakers.720p.HDTV.60fps.x264-Reborn4HD.mkv][2013/14 常规赛 2013.11.4 老鹰 VS 湖人 来自 http://hd-sportbits.org][720P]'],['/torrents/516961/']
132,['[篮球][NBA][NBA.2013.11.03.Timberwolves.vs.Knicks.720p.HDTV.60fps.x264-Reborn4HD.mkv][2013/14 常规赛 2013.11.4 森林狼 VS 尼克斯 来自 http://hd-sportbits.org][720P]'],['/torrents/516958/']
133,['[篮球][NBA][NBA.2013.11.02.Bulls.vs.76ers.720p.HDTV.60fps.x264-Reborn4HD.mkv][2013/14 常规赛 2013.11.3 公牛 VS 76人 来自 http://hd-sportbits.org][720P]'],['/torrents/516779/']
134,['[足球][英超][2013-11-03][英超第10轮 阿森纳VS利物浦[新视觉HD]][国语][720P]'],['/torrents/516711/']
135,['[篮球][NBA][NBA.2013.11.01.Thunder.vs.Timberwolves.720p.HDTV.60fps.x264-Reborn4HD.mkv][2013/14 常规赛 2013.11.2 雷霆 VS 森林狼][720P]'],['/torrents/516571/']
136,['[篮球][NBA][NBA.2013.10.31.Knicks.vs.Bulls.720p.HDTV.60fps.x264-Reborn4HD.mkv][2013/14 常规赛 2013.11.1 尼克斯 VS 公牛(转自hd-sportbits.org)][720P]'],['/torrents/516412/']
137,['[篮球][NBA][NBA.2013.10.30.Heat.vs.76ers.720p.HDTV.60fps.x264-Reborn4HD.mkv][2013/14 常规赛 2013.10.31 热火 VS 76人(转自TTG)][720P]'],['/torrents/516215/']
138,['[足球][西甲][2013-10-31][西甲第11轮 皇家马德里vs塞维利亚][中文解说][RMVB]'],['/torrents/516168/']
139,['[篮球][NBA][NBA.2013.10.29.Clippers.vs.Lakers.720p.HDTV.30fps.x264-Reborn4HD.mkv][2013/14 常规赛 2013.10.30 快船 VS 湖人][720P]'],['/torrents/515962/']
140,['[足球][英超][2013-10-30][10月30日 联赛杯第4轮 阿森纳VS切尔西MKVbeIN/英语][英语][MKV]'],['/torrents/515956/']
141,['[足球][德甲][2013-09-22][德甲第六轮 沙尔克04VS拜仁慕尼黑][博斯无线/国语][720P]'],['/torrents/509861/']
142,['[足球][欧冠][2013-09-19][欧冠小组赛第一轮 AC米兰VS凯尔特人][ELTA HD/英语][720P]'],['/torrents/509432/']
143,['[足球][欧冠][2013-09-18][欧冠小组赛第一轮   比尔森胜利VS曼城][ELTA/英语][720P]'],['/torrents/509315/']
144,['[足球][英超][2013-09-14][9月14日 英超第4轮 埃弗顿VS切尔西][NOW 英超/粤语][720P]'],['/torrents/508778/']
145,['[足球][西甲][2013-09-15][西甲第4轮 比利亚雷亚尔vs皇马][英语][RMVB]'],['/torrents/508733/']
146,['[足球][德甲][2013-09-15][德甲第5轮 多特VS汉堡][CCTV5+/国语][MKV]'],['/torrents/508722/']
147,['[篮球][美洲男篮锦标赛][2013-09-11][美洲男篮锦标赛决赛 波多黎各VS墨西哥][英语]'],['/torrents/508497/']
148,['[足球][英超][2013-09-02][英超第3轮 阿森纳 Vs 热刺 (北伦敦德比)][百视通/国语][720P]'],['/torrents/506695/']
149,['[足球][西甲][2013-08-19][西甲第1轮 皇家马德里vs贝蒂斯][国语宽屏][RMVB]'],['/torrents/505119/']
150,['[足球][足球热身赛][2013-08-11][ 皇马vs国际米兰][ 国语][RMVB]'],['/torrents/504586/']
151,['[足球][足球友谊赛][2013-07-22][伯恩茅斯vs皇马][英语宽屏][AVI]'],['/torrents/502849/']
152,['[网球][大满贯][2013-07-05][2013温网第十比赛日官方高清集锦 英语解说][2013.Wimbledon.Official.Highlights.Show.Day10.July4.ENG.720p.HDTV.x264][720P]'],['/torrents/501370/']
