序号,名称,网址后缀
99,['[外语][NBC Nightly News 2016.11.18][视频][720P]'],['/torrents/591249/']
100,"['[理工类][上海交通大学 计算机网络 翁惠玉讲课视频(老师声音挺好)][视频][此视频为上海交通大学计算机专业翁惠玉老师讲课视频,授课内容为计算机网络]']",['/torrents/591236/']
101,['[外语][微软build][视频][微软2016年Build大会Microsoft Build 2016 Day1 Keynote 1280x720 WEB-DL MP4-Channel9英语中字]'],['/torrents/579921/']
102,['[外语][CET-6英语六级听力 2014-2015十套真题][音频][MP3+字幕]'],['/torrents/579855/']
103,['[计算机][Html5入门教程合集][视频][Html5 Get Started TutorialMP4]'],['/torrents/579789/']
104,['[计算机][计算机兰色幻想vba从入门到进阶80集完整版视频][视频][很实用]'],['/torrents/579609/']
105,['[课件][SPSS教程][文档][教学课件]'],['/torrents/579167/']
106,['[外语][剑指offer 名企面试官精讲典型编程题][文档][考试面试]'],['/torrents/579125/']
107,['[计算机][LINUX SHELL脚本攻略(中文版)][文档][PDF]'],['/torrents/579093/']
108,['[计算机][LabVIEW学习视频汇总][视频][LabVIEW视频资料]'],['/torrents/578956/']
109,['[外语][TED演讲2015合集][视频][TED talks collection MP4 2015 外挂英文字幕]'],['/torrents/575752/']
110,['[外语][雅思精讲阅读班精讲班 张岳 全9课时][雅思精讲阅读班精讲班 张岳]'],['/torrents/575358/']
111,['[外语][4周攻克雅思周计划][文档][雅思复习计划]'],['/torrents/575195/']
112,['[外语][807雅思词汇精讲听力][音频][王陆807的音频全集]'],['/torrents/575071/']
113,['[外语][《雅思口语九天高分之路》][文档][《雅思口语九天高分之路》-刘薇]'],['/torrents/575057/']
114,['[人文社会][世界历史资料大全(该有的应该全有了)][文档][世界各国历史资料]'],['/torrents/574550/']
115,"['[吉他超级攻略(包括指弹以及弹唱吉他曲谱,4000多首)][文档][吉他谱传送]']",['/torrents/574477/']
116,['[计算机][eoe极客学院_Android开发教程][视频][安卓开发之自由行133课]'],['/torrents/574093/']
117,['[计算机][fortran95自学ppt课件以及源代码和操作视频][视频][适合初学者]'],['/torrents/573918/']
118,"['[外语][2015新东方英语六级视频集][视频][董仲蠡,刘一男,李旭,付建利等主讲.]']",['/torrents/571715/']
119,['[计算机][吉林大学c语言程序设计视频教程51讲 康辉 ][视频][讲的很细]'],['/torrents/570836/']
120,"['[计算机][Head First系列电子书][文档][包含C语言,JAVA,Python和HTML等]']",['/torrents/570337/']
121,['[开放课程][耶鲁大学开放课程:英国近代史][视频][MP4/16集全/中英字幕]'],['/torrents/551259/']
122,['[计算机][机器学习视频][视频][对原来的视频做了修正替换]'],['/torrents/550905/']
123,"['[开放课程][coursera开放课程:唐诗宋词人文解读/Appreciation of Tang and Song Poetry][文档][MP4,PPT,班次:4月8日2014-7月23日2014]']",['/torrents/550793/']
124,['[外语][新标准英语视听教程3][博士英语]'],['/torrents/549216/']
