序号,名称,网址后缀
52,['[美国][2018][升级(豆瓣8.1)][Upgrade.2018.1080p.BluRay.x265-RARBG][罗根?马歇尔-格林 / 梅拉里?沃列何 / 哈里森?吉尔伯特森 ][动作/惊悚/科幻][Blu-Ray][1080P][自带中英字幕]'],['/torrents/610380/']
53,['[日本][2020][想哭的我戴上了猫的面具][A Whisker Away][ 志田未来/花江夏树/山寺宏一/小木博明/ 寿美菜子][动画][WEBRip][1080P][自带中文字幕]'],['/torrents/610373/']
54,['[美国][2021][沙丘][Dune.2021.HD1080P.X264.AAC.English.CHS-ENG][蒂莫西?柴勒梅德 / 丽贝卡?弗格森 / 奥斯卡?伊萨克 / 戴夫?巴蒂斯塔 / 赞达亚 /][科幻][HDTV][1080P][自带中英字幕]'],['/torrents/610368/']
55,['[美国][2021][沙丘][Dune.2021.1080p.HDRip.X264.AC3-EVO][蒂莫西?柴勒梅德 / 丽贝卡?弗格森 / 奥斯卡?伊萨克][剧情/科幻/冒险][WEBRip][1080P][自带中英字幕]'],['/torrents/610366/']
56,['[大陆][2021][一直游到海水变蓝][Swimming.out.till.the.Sea.Turns.Blue.2021.HD4K.X265.AAC.Mandarin.CHS][贾平凹 / 余华 / 梁鸿 / 贾樟柯 / 莫言 /][纪录][HDTV][4K][无需字幕]'],['/torrents/610365/']
57,['[美国][2021][冰路营救][The.Ice.Road.2021.1080p.WEBRip.x264-RARBG][连姆?尼森 / 马库斯?托马斯 / 劳伦斯?菲什伯恩][剧情/动作/惊悚/冒险][WEBRip][1080P][自带中英字幕]'],['/torrents/610339/']
58,['[香港][2021][怒火?重案][Raging.Fire.1080p.WEB-DL.H264.DDP5.1.2Audio-10006][甄子丹/谢霆锋/秦岚/谭耀文/吕良伟/任达华][动作/犯罪][WEB-DL][1080P][自带中文字幕]'],['/torrents/610336/']
59,['[美国][1921][寻子遇仙记/弃儿的故事/小儿][The.Kid.1921.720p.BluRay.x264.AAC-iHD][查理?卓别林][剧情/喜剧][Blu-Ray][720P][无需字幕]'],['/torrents/610334/']
60,['[香港][2021][怒火?重案][Raging Fire][甄子丹/谢霆锋/秦岚/谭耀文][动作/犯罪][Blu-Ray][4K][自带中文字幕]'],['/torrents/610330/']
61,['[大陆][2021][悬崖之上][Cliff.Walkers.2021.4K.WEB-DL.H265.AAC-PuTao][张译 / 于和伟 / 秦海璐 / 朱亚文][剧情/动作/悬疑][WEB-DL][4K][自带中英字幕]'],['/torrents/610177/']
62,['[大陆][1996][大进军(高清修复版)][The Great Military March Forward][古月/吕晓禾/马绍信/傅学诚][传记/战争][WEB-DL][1080P][附件中文字幕]'],['/torrents/610176/']
63,['[大陆][1991][大决战(高清修复版)][Decisive Engagement][古月/苏林][传记/战争][WEB-DL][1080P][附件中文字幕]'],['/torrents/610175/']
64,['[大陆][1996][大转折(高清修复版)][Turning Point][卢奇/古月/孙飞虎/傅学诚][传记/战争][WEB-DL][1080P][附件中文字幕]'],['/torrents/610174/']
65,['[大陆][2020][西行记之再见悟空 大电影][The Westward ][樊俊航/KIYO/刘北辰/夏磊/张杰/吴磊/孟祥龙/孙晔][动作/爱情/动画/冒险][HDTV][1080P][自带中文字幕]'],['/torrents/610173/']
66,['[大陆][2021][射雕英雄传之降龙十八掌][THE LEGEND OF THE CONDOR HEROES:THE DRAGON TAMER][ 耿业庭/林妍柔/杜德伟/关礼杰/朱鉴然][动作/爱情][HDTV][1080P][自带中文字幕]'],['/torrents/610152/']
67,['[大陆][2021][射雕英雄传之九阴白骨爪][Nine Yin White Bone Claw][严屹宽/阮巨/黄曦彦/何昶希][剧情/动作/爱情][DVD][1080P][自带中文字幕]'],['/torrents/610150/']
68,['[香港][2021][追虎擒龙/金钱帝国:巅峰之战 / 金钱帝国2 / 金钱帝国2:四大探长][Once.Upon.a.Time.in.Hong.Kong.2021.1080p.WEB-DL.H264.AAC][古天乐 / 梁家辉 / 吴镇宇 / 林家栋][剧情/动作/犯罪][WEB-DL][1080P][自带中文字幕]'],['/torrents/610149/']
69,['[大陆][2021][秘密访客][Home.Sweet.Home.2021.4K.WEB-DL.H265.AAC-PuTao][郭富城 / 段奕宏 / 张子枫][剧情/惊悚/悬疑][WEB-DL][4K][自带中英字幕]'],['/torrents/610145/']
70,['[大陆][2014][魁拔Ⅲ战神崛起][kuiba][刘婧荦/姚姝/王宇腾/杨晨/刘校妤][动画][DVD][1080P][自带中文字幕]'],['/torrents/610144/']
71,['[大陆][2013][魁拔之大战元泱界][kuiba][刘婧荦/刘校妤/\t王凯][动画][DVD][1080P][自带中文字幕]'],['/torrents/610143/']
72,['[大陆][2011][魁拔之十万火急][kuiba][刘婧荦/王凯/季冠霖/敖磊][动画][DVD][1080P][自带中文字幕]'],['/torrents/610141/']
73,['[韩国][2021][酸酸甜甜 / ????][Sweet.and.Sour.2021.Netflix.WEB-DL.1080p.x264.DDP-AREY][张基永 蔡秀彬  *韩语 多国语软字幕*][剧情/爱情][WEB-DL][1080P][自带中英字幕]'],['/torrents/610129/']
74,['[大陆][2021][鬼吹灯之黄皮子坟][The Tomb of Weasel 2021 2160p WEB-DL DD2 0 H265-HDSWEB][周澄奥 杨冬麒 孙雅丽][剧情/奇幻/悬疑][WEB-DL][4K][自带中文字幕]'],['/torrents/610128/']
75,['[美国][2021][招魂3/厉阴宅3:是恶魔逼我的(台)/诡屋惊凶实录3:魔旨(港)][The.Conjuring.the.Devil.Made.Me.Do.It.2021.1080p.HMAX.WEB-DL.DDP5.1.Atmos.x264-MZABI][维拉?法米加 /  帕特里克?威尔森 /  朱利安?希威德][剧情/恐怖/惊悚/悬疑][WEB-DL][1080P][自带英文字幕]'],['/torrents/610126/']
76,['[大陆][2021][明天会好的/西晒][Glowing Dusk 2021 2160p WEB-DL H265 DDP5 1-OurTV][姜逸磊 / 张超 / 吴玉芳 ][剧情/喜剧/爱情][WEB-DL][4K][自带中英字幕]'],['/torrents/610124/']
77,['[美国][2021][电锯惊魂9:漩涡/死亡漩涡:夺魂锯新游戏(台)/漩涡:恐惧斗室新游戏(港)][Spiral.From.the.Book.of.Saw.2021.1080p.AMZN.WEB-DL.DDP.5.1.H.264-CMRG][克里斯?洛克 / 塞缪尔?杰克逊 / 麦克思?明格拉][剧情/恐怖/惊悚/悬疑][WEB-DL][1080P][自带英文字幕]'],['/torrents/610123/']
78,['[美国][2001][指环王(魔戒)合集][The Lord of the Rings][剧情/战争][Blu-Ray][1080P][自带中英字幕]'],['/torrents/610120/']
79,['[美国][2021][奥斯陆][Oslo 2021 1080p HMAX WEB-DL DD+5.1 x264-PuTao][露丝?威尔森 / 安德鲁?斯科特 / 耶夫?威尔布什][剧情/惊悚/其他][WEB-DL][1080P][自带中英字幕]'],['/torrents/610118/']
80,['[大陆][2021][扫黑?决战 / 扫黑?两面人][Break.Through.the.Darkness.2021.HD4K.x265.AAC][姜武 / 张颂文 / 金世佳 / 李倩 / 赵毅 / 焦刚 / 尤勇智 / 刘琳 / 白志迪 / 王][剧情/动作/犯罪][HDTV][4K][自带中文字幕]'],['/torrents/610116/']
81,['[美国][2014][在我入睡前/别相信任何人(港/台)/忆乱情迷][Before.I.Go.to.Sleep.2014.1080p.Blu-ray.x265.10bit.DTS-PTH][惊悚/悬疑][Blu-Ray][1080P][自带中文字幕]'],['/torrents/610008/']
82,['[美国][2020][血腥地狱][Bloody.Hell.2020.HD1080P.AVC.ACC][本?奥图尔 / 梅格?弗雷泽 / 卡罗琳?克雷格 / 马修?桑德兰 / Travis Jeffery][恐怖/惊悚][HDTV][1080P][自带中英字幕]'],['/torrents/610007/']
83,['[美国][2021][真人快打 / 真人快打:毁灭 / 格斗之王 ][Mortal.Kombat.2021.1080p.HMAX.WEB-DL.DDP5.1.Atmos.x264-MZABI][刘易斯?陈 Lewis Tan /乔?塔斯利姆 Joe Taslim/ 真田广之 Hiroyuki ][剧情/动作/奇幻/冒险][WEB-DL][1080P][自带英文字幕]'],['/torrents/610005/']
84,['[美国][2012][恋恋书中人 / 书中字有梦女神(港) / 他爱我 / 客制化女神(台) / 露比?斯帕克斯 ][Ruby.Sparks.2012.1080p.BluRay.x265.10bit.DTS-PTH][喜剧/爱情/奇幻][Blu-Ray][1080P][自带中文字幕]'],['/torrents/609998/']
85,['[英国][2020][信使][The.Courier.2021.HD1080P.AVC.AAC][本尼迪克特?康伯巴奇 / 瑞秋?布罗斯纳安 / 梅拉布?尼尼泽 / 玛丽亚?米罗诺娃 / 安东?莱瑟][惊悚][HDTV][1080P][自带中英字幕]'],['/torrents/609995/']
86,['[美国][2021][小人物][Nobody.2021.HD1080P.AVC.AAC][鲍勃?奥登科克 / 阿列克谢?谢列布里亚科夫 / 康妮?尼尔森 / 克里斯托弗?洛伊德 / 迈克尔?][动作/犯罪][HDTV][1080P][自带中英字幕]'],['/torrents/609991/']
87,['[大陆][2021][缉魂][The.Soul.2021.HD1080P.AVC.AC3][张震 / 张钧甯 / 孙安可 / 李铭顺 / 张柏嘉 / 林晖闵 / 古斌 / 吕雪凤 / 林鹤轩 ][惊悚/犯罪/科幻/悬疑][HDTV][1080P][自带中文字幕]'],['/torrents/609990/']
88,['[大陆][2021][人潮汹涌][Endgame 2021 WEB-DL 1080p H264 DD5.1-HDSWEB][刘德华 / 肖央 / 万茜][剧情/喜剧/犯罪][WEB-DL][1080P][自带中文字幕]'],['/torrents/609989/']
89,['[日本][2020][哆啦A梦:伴我同行2][Stand.by.Me.Doraemon.2.2020.HD1080P.AVC.AAC][水田山葵 / 大原惠美 / 嘉数由美 / 木村昴 / 关智一 / 妻夫木聪 / 宫本信子 / 三石琴][剧情/动画][HDTV][1080P][自带中文字幕]'],['/torrents/609987/']
90,['[日本][2014][哆啦A梦:伴我同行][Stand.by.Me.Doraemon.2014.BD1080P.AVC.AAC][水田山葵 / 大原惠美 / 嘉数由美 / 木村昴 / 关智一 / 三石琴乃 / 松本保典 / 田原阿][剧情/动画][Blu-Ray][1080P][自带中文字幕]'],['/torrents/609986/']
91,['[大陆][2021][兴安岭猎人传说][legend of hunter][恐怖/惊悚/悬疑][WEB-DL][1080P][自带中文字幕]'],['/torrents/609985/']
92,['[2020][少年侦探.2020.1080p.中英字幕￡CMCT陆判][The.Kid.Detective.2020.BluRay.1080p.x264.DTS-CMCT][剧情/喜剧][Blu-Ray][1080P][自带中英字幕]'],['/torrents/609982/']
93,['[美国][2020][防弹2 ][Bulletproof.2.2020.1080p.BluRay.x265.10bit.DTS-PTH][剧情/动作][Blu-Ray][1080P][自带中文字幕]'],['/torrents/609981/']
94,"[""[大陆][2021][刺杀小说家][A Writer's Odyssey / Assassin in Red][雷佳音 /杨幂/于和伟 / 郭京飞/佟丽娅 ][动作/奇幻/冒险][WEB-DL][4K][自带中文字幕]""]",['/torrents/609977/']
